Produkt,Preis_Euro,Marke,Bild_URL,Produkt_URL,Bewertung,Anzahl_Bewertungen
Kuscheltier Axolotl,3.99,soma,"['https://i.otto.de/i/otto/678bddff-8d84-5909-bfa1-af2630ed496a/soma-kuscheltier-axolotl-kuscheltier-echse-molch-figur-plusch-18-cm-pusch-blau-1-st-axolotl-pluschtier-molch-kuscheltier-figur-pluschtier-wassertier.jpg?$formatz$', 'https://i.otto.de/i/otto/bcc3aa45-6654-5aa5-b897-0704ce8736e6/soma-kuscheltier-axolotl-kuscheltier-echse-molch-figur-plusch-18-cm-pusch-blau-1-st-axolotl-pluschtier-molch-kuscheltier-figur-pluschtier-wassertier.jpg?$formatz$', 'https://i.otto.de/i/otto/35cb0e1f-e40b-5afa-96d3-1fb76754c38c/soma-kuscheltier-axolotl-kuscheltier-echse-molch-figur-plusch-18-cm-pusch-blau-1-st-axolotl-pluschtier-molch-kuscheltier-figur-pluschtier-wassertier.jpg?$formatz$', 'https://i.otto.de/i/otto/3cc82d8d-7d1c-549d-a1fc-6e19ab9289a5/soma-kuscheltier-axolotl-kuscheltier-echse-molch-figur-plusch-18-cm-pusch-blau-1-st-axolotl-pluschtier-molch-kuscheltier-figur-pluschtier-wassertier.jpg?$formatz$', 'https://i.otto.de/i/otto/1e7273eb-9ffa-5d69-aed4-b0c24794a970/soma-kuscheltier-axolotl-kuscheltier-echse-molch-figur-plusch-18-cm-pusch-blau-1-st-axolotl-pluschtier-molch-kuscheltier-figur-pluschtier-wassertier.jpg?$formatz$', 'https://i.otto.de/i/otto/ea1a4f1b-4e9f-5588-aab2-93de768e8d47/soma-kuscheltier-axolotl-kuscheltier-echse-molch-figur-plusch-18-cm-pusch-blau-1-st-axolotl-pluschtier-molch-kuscheltier-figur-pluschtier-wassertier.jpg?$formatz$', 'https://i.otto.de/i/otto/404008f6-60f3-583d-903a-d1e9c3434fc6/soma-kuscheltier-axolotl-kuscheltier-echse-molch-figur-plusch-18-cm-pusch-blau-1-st-axolotl-pluschtier-molch-kuscheltier-figur-pluschtier-wassertier.jpg?$formatz$', 'https://i.otto.de/i/otto/1add7d88-83db-5531-8c44-8d6a0978871f/soma-kuscheltier-axolotl-kuscheltier-echse-molch-figur-plusch-18-cm-pusch-blau-1-st-axolotl-pluschtier-molch-kuscheltier-figur-pluschtier-wassertier.jpg?$formatz$', 'https://i.otto.de/i/otto/d6e31108-ea43-5efa-836b-6c130dfd1563/soma-kuscheltier-axolotl-kuscheltier-echse-molch-figur-plusch-18-cm-pusch-blau-1-st-axolotl-pluschtier-molch-kuscheltier-figur-pluschtier-wassertier.jpg?$formatz$', 'https://i.otto.de/i/otto/71891e84-c85b-522c-a128-f4eaf2410120/soma-kuscheltier-axolotl-kuscheltier-echse-molch-figur-plusch-18-cm-pusch-blau-1-st-axolotl-pluschtier-molch-kuscheltier-figur-pluschtier-wassertier.jpg?$formatz$', 'https://i.otto.de/i/otto/50832d1e-2ff7-53b1-b997-e539eeb76161/soma-kuscheltier-axolotl-kuscheltier-echse-molch-figur-plusch-18-cm-pusch-blau-1-st-axolotl-pluschtier-molch-kuscheltier-figur-pluschtier-wassertier.jpg?$formatz$', 'https://i.otto.de/i/otto/14c32242-49c0-5999-8e82-2a8517c6822c/soma-kuscheltier-axolotl-kuscheltier-echse-molch-figur-plusch-18-cm-pusch-blau-1-st-axolotl-pluschtier-molch-kuscheltier-figur-pluschtier-wassertier.jpg?$formatz$']",,0.0,0
Tierfigur Stegosaurus 5m,6379.0,Xlmoebel,['https://i.otto.de/i/otto/b5c948e5-d65a-448b-8b92-f94d6a0483e2/xlmoebel-tierfigur-stegosaurus-5m-skulptur-dekorative-figur-fur-ausstellungen-1-st-5m-made-in-europa.jpg?$formatz$'],,0.0,0
Schreibgeräteetui Schlamperbox,9.99,neoxx,"['https://i.otto.de/i/otto/ca515bff-b2f7-5cbf-8606-d0801996b092/neoxx-schreibgerateetui-schlamperbox-jump-teilweise-aus-recyceltem-material-pixel-my-mind.jpg?$formatz$', 'https://i.otto.de/i/otto/b7a253b1-cd81-5ed3-b241-2494bf69072e/neoxx-schreibgerateetui-schlamperbox-jump-teilweise-aus-recyceltem-material-pixel-my-mind.jpg?$formatz$', 'https://i.otto.de/i/otto/257d39eb-2e01-5223-bd47-0add31065974/neoxx-schreibgerateetui-schlamperbox-jump-teilweise-aus-recyceltem-material-pixel-my-mind.jpg?$formatz$', 'https://i.otto.de/i/otto/905a2525-1ecf-5faf-be26-f0ccf1d9dcd9/neoxx-schreibgerateetui-schlamperbox-jump-teilweise-aus-recyceltem-material-pixel-my-mind.jpg?$formatz$', 'https://i.otto.de/i/otto/033b7242-ae44-5169-9e48-5b39d717f965/neoxx-schreibgerateetui-schlamperbox-jump-teilweise-aus-recyceltem-material-pixel-my-mind.jpg?$formatz$', 'https://i.otto.de/i/otto/2e795318-8516-5eaa-93d1-07e5c6c429e9/neoxx-schreibgerateetui-schlamperbox-jump-teilweise-aus-recyceltem-material-pixel-my-mind.jpg?$formatz$', 'https://i.otto.de/i/otto/8ae7de56-ba5e-505c-97ef-4b09ce49214f/neoxx-schreibgerateetui-schlamperbox-jump-teilweise-aus-recyceltem-material-pixel-my-mind.jpg?$formatz$']",,5.0,62
Grand Theft Auto VI,79.99,Rockstar Games,"['https://i.otto.de/i/otto/7bae3f88-0a88-5517-a29c-d6b83e77c9eb/grand-theft-auto-vi-gta-6-playstation-5.jpg?$formatz$', 'https://i.otto.de/i/otto/101b0943-73d4-5562-9f95-7d6f646c1a0e/grand-theft-auto-vi-gta-6-playstation-5.jpg?$formatz$', 'https://i.otto.de/i/otto/f7118f8a-0a07-5a3e-af11-892759e0f324/grand-theft-auto-vi-gta-6-playstation-5.jpg?$formatz$', 'https://i.otto.de/i/otto/e548c9c9-c875-558f-a1e2-c1c249c73003/grand-theft-auto-vi-gta-6-playstation-5.jpg?$formatz$', 'https://i.otto.de/i/otto/1458cc95-36d8-51fc-a6fe-6a37a96c2bd3/grand-theft-auto-vi-gta-6-playstation-5.jpg?$formatz$', 'https://i.otto.de/i/otto/b00ef4a1-f9ce-5ab6-8f96-e14179633b5a/grand-theft-auto-vi-gta-6-playstation-5.jpg?$formatz$', 'https://i.otto.de/i/otto/d4b4b3ec-c76c-51fd-bdad-77fa774d8439/grand-theft-auto-vi-gta-6-playstation-5.jpg?$formatz$', 'https://i.otto.de/i/otto/54f2bab8-20fd-5f24-9d15-ee618a2e9085/grand-theft-auto-vi-gta-6-playstation-5.jpg?$formatz$']",,0.0,0
Apple iPhone 18 Pro Max,1599.0,Apple,"['https://i.otto.de/i/otto/14d87dd2-290d-5d2e-97a2-6189f2dc24bb/apple-iphone-18-pro-max-smartphone-1753-cm-69-zoll-256-gb-speicherplatz-48-mp-kamera-schwarz.jpg?$formatz$', 'https://i.otto.de/i/otto/684a3a34-63e8-58cf-b7a2-e3b573133d94/apple-iphone-18-pro-max-smartphone-1753-cm-69-zoll-256-gb-speicherplatz-48-mp-kamera-schwarz.jpg?$formatz$', 'https://i.otto.de/i/otto/59b9ef90-644c-5fda-8baf-0d6c1ffeb79e/apple-iphone-18-pro-max-smartphone-1753-cm-69-zoll-256-gb-speicherplatz-48-mp-kamera-schwarz.jpg?$formatz$', 'https://i.otto.de/i/otto/900779be-2445-563f-af42-e10290c9ba8a/apple-iphone-18-pro-max-smartphone-1753-cm-69-zoll-256-gb-speicherplatz-48-mp-kamera-schwarz.jpg?$formatz$', 'https://i.otto.de/i/otto/96eae353-1f72-5aa5-ad29-6fcd171a169e/apple-iphone-18-pro-max-smartphone-1753-cm-69-zoll-256-gb-speicherplatz-48-mp-kamera-schwarz.jpg?$formatz$', 'https://i.otto.de/i/otto/c5cff317-9c15-5ce8-9aac-1cd7597b9eaf/apple-iphone-18-pro-max-smartphone-1753-cm-69-zoll-256-gb-speicherplatz-48-mp-kamera-schwarz.jpg?$formatz$', 'https://i.otto.de/i/otto/20dca015-64a2-5778-9e83-9cb0b01c8542/apple-iphone-18-pro-max-smartphone-1753-cm-69-zoll-256-gb-speicherplatz-48-mp-kamera-schwarz.jpg?$formatz$', 'https://i.otto.de/i/otto/55f87ea2-4fdf-5f4d-a3ea-3c869502d5fe/apple-iphone-18-pro-max-smartphone-1753-cm-69-zoll-256-gb-speicherplatz-48-mp-kamera-schwarz.jpg?$formatz$', 'https://i.otto.de/i/otto/444572f8-0d67-542a-9ba6-ad7159f5c566/apple-iphone-18-pro-max-smartphone-1753-cm-69-zoll-256-gb-speicherplatz-48-mp-kamera-schwarz.jpg?$formatz$']",,0.0,0
Jack & Jones Langarmhemd,30.99,Jack & Jones,"['https://i.otto.de/i/otto/5ecc19cd-d7ca-52ce-b958-93b84482add9/jack-jones-langarmhemd-jjprparma-shirt-l-s-noos-mit-hemdkragen-weiss.jpg?$formatz$', 'https://i.otto.de/i/otto/9f4238fb-c31a-506d-ac01-28e41eecbf42/jack-jones-langarmhemd-jjprparma-shirt-l-s-noos-mit-hemdkragen-weiss.jpg?$formatz$', 'https://i.otto.de/i/otto/da71df84-6d90-5b29-b44a-3818413f3d27/jack-jones-langarmhemd-jjprparma-shirt-l-s-noos-mit-hemdkragen-weiss.jpg?$formatz$', 'https://i.otto.de/i/otto/89b90674-04f2-5cbe-8fdf-38605f9e7f49/jack-jones-langarmhemd-jjprparma-shirt-l-s-noos-mit-hemdkragen-weiss.jpg?$formatz$', 'https://i.otto.de/i/otto/d009f7c4-1221-5b02-8075-265e07716b09/jack-jones-langarmhemd-jjprparma-shirt-l-s-noos-mit-hemdkragen-weiss.jpg?$formatz$', 'https://i.otto.de/i/otto/2e2fab47-8138-5c40-8962-96b4cb2a9500/jack-jones-langarmhemd-jjprparma-shirt-l-s-noos-mit-hemdkragen-weiss.jpg?$formatz$', 'https://i.otto.de/i/otto/25829697-e934-58c1-abde-b7854b366d66/jack-jones-langarmhemd-jjprparma-shirt-l-s-noos-mit-hemdkragen-weiss.jpg?$formatz$', 'https://i.otto.de/i/otto/e963b4c3-c11d-58e4-a962-f328bca81c88/jack-jones-langarmhemd-jjprparma-shirt-l-s-noos-mit-hemdkragen-weiss.jpg?$formatz$', 'https://i.otto.de/i/otto/2aa8b772-3dbf-56e2-a2b5-e743b3892f65/jack-jones-langarmhemd-jjprparma-shirt-l-s-noos-mit-hemdkragen-weiss.jpg?$formatz$', 'https://i.otto.de/i/otto/a3a419b8-33b9-5508-940e-c284f1467d94/jack-jones-langarmhemd-jjprparma-shirt-l-s-noos-mit-hemdkragen-weiss.jpg?$formatz$', 'https://i.otto.de/i/otto/25c6a59c-6ad2-5115-8bb9-16d17a2a7288/jack-jones-langarmhemd-jjprparma-shirt-l-s-noos-mit-hemdkragen-weiss.jpg?$formatz$', 'https://i.otto.de/i/otto/ce0ed874-c23f-5240-8e4e-767c99ac15d3/jack-jones-langarmhemd-jjprparma-shirt-l-s-noos-mit-hemdkragen-weiss.jpg?$formatz$', 'https://i.otto.de/i/otto/c379834f-1fe8-5c32-a441-ac570b1ae029/jack-jones-langarmhemd-jjprparma-shirt-l-s-noos-mit-hemdkragen-weiss.jpg?$formatz$', 'https://i.otto.de/i/otto/941f7377-21a7-563b-a03e-d5b784676660/jack-jones-langarmhemd-jjprparma-shirt-l-s-noos-mit-hemdkragen-weiss.jpg?$formatz$']",,4.5,243
Stehtischhusse Stretch,11.95,heimtexland,"['https://i.otto.de/i/otto/4c76b7d5-fa9a-5bb5-b823-8aa0ea26ab08/heimtexland-stehtischhusse-stretch-husse-stehtisch-bistrotisch-event-deko-bugelfrei-anthrazit.jpg?$formatz$', 'https://i.otto.de/i/otto/2886d6fc-fec0-5224-a9bd-4f340463791d/heimtexland-stehtischhusse-stretch-husse-stehtisch-bistrotisch-event-deko-bugelfrei-anthrazit.jpg?$formatz$', 'https://i.otto.de/i/otto/fb0ac00c-f81d-52a9-af57-f177e6374e70/heimtexland-stehtischhusse-stretch-husse-stehtisch-bistrotisch-event-deko-bugelfrei-anthrazit.jpg?$formatz$', 'https://i.otto.de/i/otto/731453be-484c-5f76-bdbb-3b0d0245b23a/heimtexland-stehtischhusse-stretch-husse-stehtisch-bistrotisch-event-deko-bugelfrei-anthrazit.jpg?$formatz$', 'https://i.otto.de/i/otto/cc7b798c-8751-5dd0-aab1-c8daf7568620/heimtexland-stehtischhusse-stretch-husse-stehtisch-bistrotisch-event-deko-bugelfrei-anthrazit.jpg?$formatz$']",,0.0,0
Armani Exchange Connected Steppjacke,169.99,Armani Exchange Connected,"['https://i.otto.de/i/otto/736caacd-5940-541d-a5c9-6f9bd2118db8/armani-exchange-connected-steppjacke-schwarz.jpg?$formatz$', 'https://i.otto.de/i/otto/cfb96366-89a7-5fcf-8d2d-f0f523692a7b/armani-exchange-connected-steppjacke-schwarz.jpg?$formatz$', 'https://i.otto.de/i/otto/61006d15-4a39-53cd-a671-90afcf92075a/armani-exchange-connected-steppjacke-schwarz.jpg?$formatz$']",,0.0,0
ESRA Straight-Jeans,39.99,ESRA,"['https://i.otto.de/i/otto/7034f30a-33e3-4667-b5a8-b7a29fec2f15/esra-straight-jeans-high-waist-straight-fit-jeans-damen-geradeschnitt-hose-straight-high-waist-damen-jeans-straight-hose-gerade-schnitt-jeanshose-stretch-dunkelblau-j738.jpg?$formatz$', 'https://i.otto.de/i/otto/ba993132-ba7b-4ee9-ac53-87e2aa57d5f8/esra-straight-jeans-high-waist-straight-fit-jeans-damen-geradeschnitt-hose-straight-high-waist-damen-jeans-straight-hose-gerade-schnitt-jeanshose-stretch-dunkelblau-j738.jpg?$formatz$', 'https://i.otto.de/i/otto/35cfe0cc-887c-4dde-9dbe-efe4594e9883/esra-straight-jeans-high-waist-straight-fit-jeans-damen-geradeschnitt-hose-straight-high-waist-damen-jeans-straight-hose-gerade-schnitt-jeanshose-stretch-dunkelblau-j738.jpg?$formatz$', 'https://i.otto.de/i/otto/0b13e9fc-7f4d-4d7e-8061-756edd146799/esra-straight-jeans-high-waist-straight-fit-jeans-damen-geradeschnitt-hose-straight-high-waist-damen-jeans-straight-hose-gerade-schnitt-jeanshose-stretch-dunkelblau-j738.jpg?$formatz$', 'https://i.otto.de/i/otto/55c59795-f905-4e07-b857-72b53de220d4/esra-straight-jeans-high-waist-straight-fit-jeans-damen-geradeschnitt-hose-straight-high-waist-damen-jeans-straight-hose-gerade-schnitt-jeanshose-stretch-dunkelblau-j738.jpg?$formatz$']",,4.0,280
RESPEKTA Winkelküche Safado,5154.9,RESPEKTA,"['https://i.otto.de/i/otto/a55cb36c-e5f9-5a54-936e-c28a7e0c84dd/respekta-winkelkuche-safado-aus-der-serie-marleen-breite-370-cm-mit-soft-close-in-exklusiver-konfiguration-fur-otto-front-grau-matt-korpus-artisan-eiche-nachbildung.jpg?$formatz$', 'https://i.otto.de/i/otto/42b62304-7453-5821-bf2c-b5b9ce69f20f/respekta-winkelkuche-safado-aus-der-serie-marleen-breite-370-cm-mit-soft-close-in-exklusiver-konfiguration-fur-otto-front-grau-matt-korpus-artisan-eiche-nachbildung.jpg?$formatz$', 'https://i.otto.de/i/otto/57d30687-1c0b-5bff-8960-5fd121618522/respekta-winkelkuche-safado-aus-der-serie-marleen-breite-370-cm-mit-soft-close-in-exklusiver-konfiguration-fur-otto-front-grau-matt-korpus-artisan-eiche-nachbildung.jpg?$formatz$', 'https://i.otto.de/i/otto/d50ba0ad-88d0-5b99-864a-4d674a9d7845/respekta-winkelkuche-safado-aus-der-serie-marleen-breite-370-cm-mit-soft-close-in-exklusiver-konfiguration-fur-otto-front-grau-matt-korpus-artisan-eiche-nachbildung.jpg?$formatz$', 'https://i.otto.de/i/otto/f16c6969-f277-5cd4-9189-cdbb74457c36/respekta-winkelkuche-safado-aus-der-serie-marleen-breite-370-cm-mit-soft-close-in-exklusiver-konfiguration-fur-otto-front-grau-matt-korpus-artisan-eiche-nachbildung.jpg?$formatz$', 'https://i.otto.de/i/otto/3cf926fe-00ae-572c-a044-d198244f4323/respekta-winkelkuche-safado-aus-der-serie-marleen-breite-370-cm-mit-soft-close-in-exklusiver-konfiguration-fur-otto-front-grau-matt-korpus-artisan-eiche-nachbildung.jpg?$formatz$', 'https://i.otto.de/i/otto/943bbc01-3919-5358-8b32-d97d940819b2/respekta-winkelkuche-safado-aus-der-serie-marleen-breite-370-cm-mit-soft-close-in-exklusiver-konfiguration-fur-otto-front-grau-matt-korpus-artisan-eiche-nachbildung.jpg?$formatz$', 'https://i.otto.de/i/otto/c42b183b-7938-5ec8-9897-5ffb99056d27/respekta-winkelkuche-safado-aus-der-serie-marleen-breite-370-cm-mit-soft-close-in-exklusiver-konfiguration-fur-otto-front-grau-matt-korpus-artisan-eiche-nachbildung.jpg?$formatz$', 'https://i.otto.de/i/otto/83cf4e60-dda9-59d6-88e7-3ca6c6168848/respekta-winkelkuche-safado-aus-der-serie-marleen-breite-370-cm-mit-soft-close-in-exklusiver-konfiguration-fur-otto-front-grau-matt-korpus-artisan-eiche-nachbildung.jpg?$formatz$']",,1.0,1
